,TMax24,TMin24,RhMax24,RhMin24,Rn24,Temp,Rh,Wspd,Mx_Spd,Mx_Dir,Dir,Rn_1,TMax,TMin,RhMax,RhMin,Vb,PYR,RnTotal,SD,TS1,TS2,TS3,Wspd,Mx_Spd
YYYY/MM/DD HH:MM:SS,C,C,%Rh,%Rh,mm,C,%Rh,mph,mph,deg,deg,mm,C,C,%Rh,%Rh,V,W/m^2,mm,cm,C,C,C,kph,kph
1/1/2019 0:00,-99999,-99999,-99999,-99999,-99999,-20.5,75,-99999,-99999,158,154,0,-20.2,-20.6,75,75,12.7,0,437,18.9,-16.05,-14.76,-11.64,2.5,3.6
1/1/2019 1:00,-99999,-99999,-99999,-99999,-99999,-19.6,76,-99999,-99999,149,130,0,-19.2,-20.2,77,75,12.7,0,437,18.9,-16.01,-14.76,-11.66,1.8,4.1
1/1/2019 2:00,-99999,-99999,-99999,-99999,-99999,-19,77,-99999,-99999,126,138,0,-18.7,-19.1,77,77,12.7,0,437,18.8,-15.98,-14.76,-11.68,2.4,4.1
1/1/2019 3:00,-99999,-99999,-99999,-99999,-99999,-18.7,77,-99999,-99999,129,128,0,-18.7,-18.7,77,77,12.7,0,437,18.7,-15.94,-14.76,-11.7,3.4,4.3
1/1/2019 4:00,-99999,-99999,-99999,-99999,-99999,-18.8,77,-99999,-99999,126,122,0,-18.7,-18.9,77,77,12.7,0,437,18.8,-15.9,-14.76,-11.72,2.3,4.1
1/1/2019 5:00,-99999,-99999,-99999,-99999,-99999,-19,77,-99999,-99999,135,114,0,-18.8,-19.2,77,77,12.7,0,437,18.8,-15.86,-14.75,-11.73,0.2,3.7
1/1/2019 6:00,-99999,-99999,-99999,-99999,-99999,-19.1,77,-99999,-99999,134,117,0,-18.7,-19.4,77,76,12.7,0,437,18.8,-15.81,-14.73,-11.75,1.1,3.4
1/1/2019 7:00,-99999,-99999,-99999,-99999,-99999,-18.4,78,-99999,-99999,127,108,0,-18.3,-18.7,78,77,12.7,0,437,18.8,-15.77,-14.72,-11.76,0.7,2.8
1/1/2019 8:00,-99999,-99999,-99999,-99999,-99999,-18.4,78,-99999,-99999,120,120,0,-18.2,-18.5,78,77,12.7,0,437,18.8,-15.73,-14.71,-11.78,0.4,2.5
1/1/2019 9:00,-99999,-99999,-99999,-99999,-99999,-18.6,77,-99999,-99999,127,24,0,-18.5,-18.7,78,77,12.7,0,437,18.9,-15.68,-14.69,-11.79,0,2.5
1/1/2019 10:00,-99999,-99999,-99999,-99999,-99999,-18.5,78,-99999,-99999,132,64,0,-18.3,-18.6,78,77,12.7,0,437,18.8,-15.63,-14.67,-11.8,0,0
1/1/2019 11:00,-99999,-99999,-99999,-99999,-99999,-18.2,78,-99999,-99999,77,27,0,-18,-18.3,78,78,12.7,1,437,18.8,-15.59,-14.65,-11.81,0,0
1/1/2019 12:00,-99999,-99999,-99999,-99999,-99999,-18.1,78,-99999,-99999,34,31,0,-18,-18.1,78,78,12.7,6,437,18.7,-15.54,-14.63,-11.82,0,0
1/1/2019 13:00,-99999,-99999,-99999,-99999,-99999,-18,78,-99999,-99999,21,56,0,-17.9,-18.1,78,78,12.7,13,437,18.8,-15.5,-14.61,-11.83,0,0
1/1/2019 14:00,-99999,-99999,-99999,-99999,-99999,-18,78,-99999,-99999,50,65,0,-17.9,-18.2,78,78,12.7,9,437,18.7,-15.46,-14.59,-11.84,0,0
1/1/2019 15:00,-99999,-99999,-99999,-99999,-99999,-18.1,78,-99999,-99999,45,28,0,-18.1,-18.2,78,78,12.7,3,437,18.7,-15.41,-14.57,-11.84,0,0
1/1/2019 16:00,-99999,-99999,-99999,-99999,-99999,-18.1,78,-99999,-99999,33,349,0,-18,-18.1,78,78,12.7,0,437,18.8,-15.37,-14.54,-11.85,0,0
1/1/2019 17:00,-99999,-99999,-99999,-99999,-99999,-17.9,78,-99999,-99999,59,258,0,-17.8,-18,79,78,12.7,0,437,18.8,-15.32,-14.51,-11.85,0,0
1/1/2019 18:00,-99999,-99999,-99999,-99999,-99999,-17.6,79,-99999,-99999,254,122,0,-17.4,-17.8,79,79,12.7,0,437,18.8,-15.28,-14.49,-11.86,0,0
1/1/2019 19:00,-17.4,-24.1,79,70,0,-17.5,79,-99999,-99999,113,100,0,-17.4,-17.9,79,78,12.7,0,437,18.7,-15.23,-14.47,-11.86,0,0
1/1/2019 20:00,-99999,-99999,-99999,-99999,-99999,-18.7,77,-99999,-99999,101,153,0,-17.9,-19.4,78,76,12.7,0,437,18.7,-15.19,-14.44,-11.87,0,0
1/1/2019 21:00,-99999,-99999,-99999,-99999,-99999,-18.2,78,-99999,-99999,158,182,0,-17.4,-18.8,79,78,12.7,0,437,18.9,-15.15,-14.41,-11.87,0,0
1/1/2019 22:00,-99999,-99999,-99999,-99999,-99999,-17.2,79,-99999,-99999,173,162,0,-17.1,-17.3,79,79,12.7,0,437,18.7,-15.1,-14.39,-11.87,0,0
1/1/2019 23:00,-99999,-99999,-99999,-99999,-99999,-17,79,-99999,-99999,186,181,0,-17,-17.1,79,79,12.7,0,437,18.7,-15.06,-14.36,-11.87,10.1,22.4
1/2/2019 0:00,-99999,-99999,-99999,-99999,-99999,-17.2,79,-99999,-99999,181,171,0,-17.1,-17.2,79,79,12.7,0,437,18.7,-15.02,-14.34,-11.86,14,22.2
1/2/2019 1:00,-99999,-99999,-99999,-99999,-99999,-17.3,79,-99999,-99999,184,178,0,-17.2,-17.5,79,79,12.7,0,437,18.6,-14.98,-14.31,-11.87,18.5,24.9
1/2/2019 2:00,-99999,-99999,-99999,-99999,-99999,-17.7,79,-99999,-99999,166,166,0,-17.5,-17.8,79,78,12.7,0,437,18.6,-14.95,-14.28,-11.87,17.4,24
1/2/2019 3:00,-99999,-99999,-99999,-99999,-99999,-17.7,79,-99999,-99999,158,167,0,-17.6,-17.8,79,79,12.7,0,437,18.6,-14.91,-14.26,-11.86,24,30
1/2/2019 4:00,-99999,-99999,-99999,-99999,-99999,-17.6,79,-99999,-99999,165,163,0,-17.5,-17.7,79,79,12.7,0,437,18.7,-14.87,-14.23,-11.86,23.7,30.9
1/2/2019 5:00,-99999,-99999,-99999,-99999,-99999,-17.4,79,-99999,-99999,156,160,0,-17.1,-17.6,79,79,12.7,0,437,18.7,-14.83,-14.2,-11.86,16.8,30.3
1/2/2019 6:00,-99999,-99999,-99999,-99999,-99999,-16.8,80,-99999,-99999,154,155,0,-16.5,-17.1,80,79,12.7,0,437,18.8,-14.79,-14.18,-11.85,28.4,37
1/2/2019 7:00,-99999,-99999,-99999,-99999,-99999,-16.2,80,-99999,-99999,148,152,0,-16,-16.4,81,80,12.7,0,437,18.6,-14.76,-14.15,-11.85,31,42.4
1/2/2019 8:00,-99999,-99999,-99999,-99999,-99999,-15.8,81,-99999,-99999,153,148,0,-15.7,-16,81,81,12.8,0,437,18.8,-14.73,-14.13,-11.84,25.5,43
1/2/2019 9:00,-99999,-99999,-99999,-99999,-99999,-15.5,81,-99999,-99999,138,136,0,-15.2,-15.7,82,81,12.7,0,437,18.8,-14.69,-14.1,-11.84,33.7,42.8
1/2/2019 10:00,-99999,-99999,-99999,-99999,-99999,-15,82,-99999,-99999,129,130,0,-14.9,-15.2,82,82,12.7,0,437,18.7,-14.65,-14.07,-11.83,39.3,48.8
1/2/2019 11:00,-99999,-99999,-99999,-99999,-99999,-14.8,82,-99999,-99999,128,132,0,-14.7,-14.9,82,82,12.7,3,437,18.7,-14.61,-14.05,-11.83,51.4,61.1
1/2/2019 12:00,-99999,-99999,-99999,-99999,-99999,-14.6,82,-99999,-99999,132,143,0,-14.5,-14.7,82,82,12.8,15,437,19.3,-14.58,-14.02,-11.82,39.3,56.4
1/2/2019 13:00,-99999,-99999,-99999,-99999,-99999,-14.4,82,-99999,-99999,144,132,0,-14.2,-14.5,82,82,12.8,27,437,18.8,-14.54,-14,-11.82,35,49.7
1/2/2019 14:00,-99999,-99999,-99999,-99999,-99999,-13.9,83,-99999,-99999,138,140,0,-13.7,-14.2,83,82,12.8,19,437,18.8,-14.49,-13.98,-11.81,30,40.5
1/2/2019 15:00,-99999,-99999,-99999,-99999,-99999,-13.7,83,-99999,-99999,146,149,0,-13.6,-13.8,84,83,12.7,3,437,18.8,-14.45,-13.95,-11.8,22.5,35.8
1/2/2019 16:00,-99999,-99999,-99999,-99999,-99999,-13.4,84,-99999,-99999,151,174,0,-13.3,-13.6,84,84,12.8,0,437,18.8,-14.41,-13.92,-11.79,13.4,26.7
1/2/2019 17:00,-99999,-99999,-99999,-99999,-99999,-13.5,84,-99999,-99999,175,217,0,-13.3,-14,84,83,12.8,0,437,18.3,-14.38,-13.88,-11.79,9.8,15.6
1/2/2019 18:00,-99999,-99999,-99999,-99999,-99999,-14.4,83,-99999,-99999,220,228,0,-14,-14.5,83,82,12.8,0,437,18.4,-14.33,-13.86,-11.78,0.2,9.1
1/2/2019 19:00,-13.3,-19.4,84,76,0,-14.1,83,-99999,-99999,242,236,0,-13.8,-14.3,84,83,12.7,0,437,18.6,-14.3,-13.83,-11.77,4.3,5.3
1/2/2019 20:00,-99999,-99999,-99999,-99999,-99999,-13.5,84,-99999,-99999,290,294,0,-13.1,-13.8,84,84,12.7,0,437,19.3,-14.26,-13.8,-11.76,11.1,15.3
1/2/2019 21:00,-99999,-99999,-99999,-99999,-99999,-13,84,-99999,-99999,290,304,0,-13,-13.1,84,84,12.7,0,437,19.9,-14.21,-13.77,-11.75,13,18.6
1/2/2019 22:00,-99999,-99999,-99999,-99999,-99999,-13,84,-99999,-99999,303,310,0,-13,-13,84,84,12.7,0,437,19.9,-14.17,-13.74,-11.73,8.4,21.4
1/2/2019 23:00,-99999,-99999,-99999,-99999,-99999,-13,84,-99999,-99999,308,297,0,-13,-13.1,84,84,12.7,0,437,19.8,-14.14,-13.71,-11.73,11.7,17.1
1/3/2019 0:00,-99999,-99999,-99999,-99999,-99999,-13.1,84,-99999,-99999,294,277,0,-13,-13.4,84,84,12.8,0,437,19.5,-14.09,-13.67,-11.72,11.9,15.5
1/3/2019 1:00,-99999,-99999,-99999,-99999,-99999,-13.5,84,-99999,-99999,277,274,0,-13.4,-13.5,84,84,12.8,0,437,19.6,-14.05,-13.65,-11.71,13.5,16.3
