Site,Model,Response ,Parameter,Species,Estimate,Est.Error,95 low,95 high,,,,,,,,,,
Daring Lake,Flower number,Flowering DOY,Random Intercept,Eriophorum,-1.430,0.395,-2.228,-0.651,,,,,,,,,,
,,,,Salix,-0.422,0.395,-1.223,0.348,,,,,,,,,,
,,,,Betula ,-0.421,0.395,-1.214,0.357,,,,,,,,,,
,,,,Oxytropis,0.092,0.395,-0.703,0.864,,,,,,,,,,
,,,,Saxifraga,0.622,0.395,-0.169,1.399,,,,,,,,,,
,,,,Rhododendron,0.622,0.395,-0.172,1.405,,,,,,,,,,
,,,,Vaccinium,0.912,0.395,0.115,1.685,,,,,,,,,,
Alexandra Fiord,Flower number,Flowering DOY,Intercept,Luzula,-0.309,0.225,-0.777,0.122,,,,,,,,,,
,,,,Dryas,-0.114,0.220,-0.564,0.327,,,,,,,,,,
,,,,Oxyria,-0.092,0.237,-0.582,0.361,,,,,,,,,,
,,,,Cassiope,0.120,0.222,-0.331,0.573,,,,,,,,,,
,,,,Papaver,0.401,0.222,-0.045,0.850,,,,,,,,,,
Daring Lake,Flower number,Flower number,Intercept,Salix,-0.590,0.275,-1.151,-0.038,,,,,,,,,,
,,,,Vaccinium,-0.463,0.285,-1.042,0.097,,,,,,,,,,
,,,,Betula ,-0.221,0.276,-0.777,0.331,,,,,,,,,,
,,,,Eriophorum,-0.179,0.285,-0.758,0.386,,,,,,,,,,
,,,,Oxytropis,0.205,0.276,-0.337,0.762,,,,,,,,,,
,,,,Rhododendron ,0.562,0.275,0.022,1.126,,,,,,,,,,
,,,,Saxifraga,0.696,0.279,0.157,1.264,,,,,,,,,,
Alexandra Fiord,Flower number,Flower number,Intercept,Luzula,-0.153,0.149,-0.459,0.117,,,,,,,,,,
,,,,Dryas,-0.122,0.140,-0.405,0.143,,,,,,,,,,
,,,,Cassiope,0.041,0.141,-0.225,0.327,,,,,,,,,,
,,,,Oxyria,0.043,0.160,-0.262,0.373,,,,,,,,,,
,,,,Papaver,0.192,0.145,-0.064,0.492,,,,,,,,,,
Daring Lake,Fruit number,Fruit number ,Intercept,Vaccinium,-0.781,0.780,-2.449,0.792,,,,,,,,,,
,,,,Oxytropis,-0.098,0.782,-1.766,1.504,,,,,,,,,,
,,,,Rhododendron ,0.719,0.778,-0.949,2.305,,,,,,,,,,
Alexandra Fiord,Fruit number,Fruit number ,Intercept,Dryas,-0.059,0.273,-0.565,0.447,,,,,,,,,,
,,,,Cassiope,-0.027,0.273,-0.525,0.491,,,,,,,,,,
,,,,Papaver,0.104,0.274,-0.386,0.633,,,,,,,,,,
