"","Site","year","Estimate.doy_Intercept","Est.Error.doy_Intercept","Q2.5.doy_Intercept","Q97.5.doy_Intercept","Estimate.value_Intercept","Est.Error.value_Intercept","Q2.5.value_Intercept","Q97.5.value_Intercept","model"
"2001","Daring Lake","2001",0.09497244793277,0.0921525892124149,-0.0912345353695125,0.273895016871263,0.0811274759175624,0.100454392156053,-0.115401723986921,0.282321113169859,"Flower number"
"2002","Daring Lake","2002",0.0101208116844584,0.0776793068292343,-0.144514625581187,0.162475561844241,-0.172871486214224,0.0947143545225065,-0.360890542436453,0.00941744718197435,"Flower number"
"2003","Daring Lake","2003",0.0339019858808581,0.0718479147031652,-0.110448094863056,0.174657195046761,0.184939829183364,0.0890078634592771,0.0113765563941491,0.360704785429392,"Flower number"
"2004","Daring Lake","2004",-0.127496330284999,0.128498655962097,-0.387383193690599,0.126752496305293,0.163010328017661,0.117176023877963,-0.066593038904145,0.39496622912725,"Flower number"
"2005","Daring Lake","2005",-0.11389130029447,0.11976962109712,-0.35163929012429,0.120678258610336,-0.12813758914909,0.119759728082483,-0.366767962431595,0.103555078161001,"Flower number"
"2006","Daring Lake","2006",-0.382772895779607,0.0871481544154147,-0.556967984924903,-0.213811656988843,-0.0178429276871356,0.0989464487928652,-0.212781046495784,0.175824018898344,"Flower number"
"2007","Daring Lake","2007",-0.124317783529012,0.0862067228530064,-0.296646318532429,0.0464847437734565,0.20268385830888,0.0976208245659574,0.0140761515711025,0.396244351758485,"Flower number"
"2008","Daring Lake","2008",-0.219171069350779,0.0803104962562255,-0.378901722099515,-0.0609364801182501,-0.205619913966968,0.10136642609246,-0.41047606789295,-0.0102456113928977,"Flower number"
"2009","Daring Lake","2009",0.263003440904973,0.110319428929802,0.04288976933168,0.480538700321713,-0.193081476584904,0.11240701202163,-0.419592412577396,0.0171540352592323,"Flower number"
"2010","Daring Lake","2010",0.38725814050694,0.0765700462097444,0.237321421104978,0.537595309376663,-0.056775118325228,0.0995295579041808,-0.254964285710791,0.136728545390156,"Flower number"
"2011","Daring Lake","2011",0.0261760445676715,0.0772433637136491,-0.126976115902729,0.177403590185724,-0.172765449524643,0.0880628123392773,-0.348041578284674,-0.00339709132532515,"Flower number"
"2012","Daring Lake","2012",-0.0885962683567176,0.100296107176414,-0.285824475199692,0.10756864867513,-0.0500710992711566,0.109191365930731,-0.268123712060557,0.163078565926067,"Flower number"
"2013","Daring Lake","2013",-0.0680306709644556,0.09170409896473,-0.247763094826137,0.111266960029302,-0.176951373241517,0.102807266446319,-0.384771080337058,0.0174368355718201,"Flower number"
"2014","Daring Lake","2014",-0.0616664681898604,0.0895698581165048,-0.238313307614116,0.11445207308745,0.278371825098425,0.101409020041904,0.0816638463610619,0.480974155475991,"Flower number"
"2015","Daring Lake","2015",-0.373023166667933,0.0764647881446975,-0.525701641699298,-0.225329511769954,-0.202698713778528,0.0969947781011902,-0.396261532651961,-0.0159785301031495,"Flower number"
"2016","Daring Lake","2016",-0.105912955162507,0.0986628616158709,-0.301472956879028,0.0848126502674406,-0.00516179796285679,0.102054260497556,-0.208439898810345,0.193694736693804,"Flower number"
"2017","Daring Lake","2017",0.0393436184842536,0.110637563453697,-0.177713457931651,0.255330041967919,0.307383473565013,0.105525558182017,0.105991848880857,0.523157950824576,"Flower number"
"2018","Daring Lake","2018",-0.0340971597679647,0.0763192789485041,-0.185708772944243,0.115228286325667,0.109006925698459,0.100149071955135,-0.0846647071668199,0.308602844721959,"Flower number"
"2019","Daring Lake","2019",-0.153187559023908,0.117463500421256,-0.386322430127061,0.0753158201820324,0.189405992107784,0.123628716914583,-0.0457359545935519,0.43992777943294,"Flower number"
"2021","Daring Lake","2021",0.731160176308803,0.0776710913278777,0.574776443437224,0.883410765167537,-0.0780956169710598,0.102588341069961,-0.281001915269262,0.122374026748352,"Flower number"
"2022","Daring Lake","2022",0.234544226234581,0.143576628165966,-0.0499567810336148,0.512710314369327,-0.0645763729717696,0.122726507856842,-0.306836551525247,0.176292848173446,"Flower number"
"1992","Alexandra Fiord","1992",0.700831761309925,0.22449723208124,0.261027442224773,1.14986698856484,-0.162846791781262,0.132970293807066,-0.422801253735587,0.101934129828954,"Flower number"
"1993","Alexandra Fiord","1993",-0.384984703653968,0.220083800296523,-0.829256981134348,0.0484440847395169,-0.24832550853724,0.122139897042187,-0.494092135443881,-0.010853756248329,"Flower number"
"1994","Alexandra Fiord","1994",-0.702286003038335,0.22031493863759,-1.14151116841311,-0.263915772488683,-0.327209642998993,0.125775954386546,-0.577513526277112,-0.0852327863164363,"Flower number"
"1995","Alexandra Fiord","1995",-0.00666094815259441,0.221395415577116,-0.448280403222381,0.43239574692255,0.0301028867143785,0.12456086168,-0.213400801638401,0.277820368854829,"Flower number"
"1996","Alexandra Fiord","1996",0.853559427016833,0.224739463905384,0.409302177971791,1.30441994312617,0.276762547606618,0.131813356564011,0.0213046392940694,0.541015629431543,"Flower number"
"1997","Alexandra Fiord","1997",-0.397358235027042,0.278910953498687,-0.957155587983618,0.14802645181703,-0.0493613362076045,0.199671912065119,-0.445497788256181,0.336116038504352,"Flower number"
"1998","Alexandra Fiord","1998",-0.480690522150556,0.22810831903299,-0.938217393574018,-0.0310325936852527,-0.0030499771592368,0.137901988858021,-0.279326224387604,0.266855141223806,"Flower number"
"20011","Alexandra Fiord","20011",0.532377045766616,0.259485756904198,0.0332826067537347,1.06126067422405,-0.111059491912139,0.168442740539619,-0.445311877515989,0.21208501880862,"Flower number"
"20021","Alexandra Fiord","20021",-0.335422131076641,0.239427551955891,-0.814532275144101,0.141020867372499,0.0143123701016214,0.15604629093592,-0.293295762946369,0.320648112581482,"Flower number"
"20031","Alexandra Fiord","20031",0.246560252243038,0.228875936030952,-0.199972378196454,0.700840101795322,0.571754418026012,0.142735757476367,0.30030721930493,0.866660584979465,"Flower number"
"20012","Daring Lake","2001",0.393683658122737,0.252923618585699,-0.103739823437913,0.892371178925263,0.262932453785736,0.114032977649557,0.0485998910894728,0.498708253945151,"Fruit number"
"20022","Daring Lake","2002",-0.419429010798577,0.232655013255942,-0.885203027590055,0.0402429469873043,0.0915111346507585,0.102415215882649,-0.10309096107743,0.301600109732296,"Fruit number"
"20032","Daring Lake","2003",0.0883242233610382,0.184604484960861,-0.277739992420256,0.447276559668984,0.0929126237491534,0.0817345437628952,-0.0590143573743491,0.260623675741208,"Fruit number"
"20041","Daring Lake","2004",-0.452523945946957,0.349355771406641,-1.1465670130177,0.24133358261016,0.186420239460967,0.0980589317212981,0.00763941172903879,0.392038450947189,"Fruit number"
"20051","Daring Lake","2005",-0.432703413685984,0.381727511069958,-1.20432310076095,0.319892627221034,-0.019161426024852,0.121211397168898,-0.256636985068645,0.224019460046165,"Fruit number"
"20061","Daring Lake","2006",-0.719854631584679,0.386972666387719,-1.489690465413,0.0524414220560123,-0.352504707120973,0.147393906514803,-0.660518125816367,-0.0812779217939723,"Fruit number"
"20071","Daring Lake","2007",-0.441899060856209,0.298911128836666,-1.02892983349999,0.15064383978682,-0.0365719072270448,0.119900877525339,-0.259645449776083,0.211511861210724,"Fruit number"
"20081","Daring Lake","2008",-0.380517931360123,0.222905778257399,-0.82763768340207,0.05775186369252,0.0381729689353229,0.105795156646454,-0.158957157913717,0.258386707956772,"Fruit number"
"20091","Daring Lake","2009",0.393532373368916,0.276765763122848,-0.155284555645349,0.952949166441599,0.0217465088077411,0.114391995307196,-0.196105419543906,0.251464354941423,"Fruit number"
"20101","Daring Lake","2010",0.472643290769061,0.314476361776201,-0.153748712165978,1.08503531998324,0.0464488421030641,0.118947627101839,-0.182572041138321,0.28898766537533,"Fruit number"
"20111","Daring Lake","2011",0.0719423610627824,0.195629330589847,-0.322280802425551,0.450608021436076,0.0198623956676217,0.101674683505881,-0.170504573290117,0.225793781647669,"Fruit number"
"20121","Daring Lake","2012",-0.202949798779447,0.247840236540421,-0.683960654658859,0.286584680953317,-0.367982240338598,0.140836843670535,-0.643377338385853,-0.0932667644417478,"Fruit number"
"20131","Daring Lake","2013",-0.287186708024153,0.283214610953089,-0.85429141931945,0.270171903541485,0.0144808649271654,0.132927895055556,-0.237294270489863,0.285070325859671,"Fruit number"
"20141","Daring Lake","2014",-0.0528489861568742,0.252942992250103,-0.556050530993321,0.44456679019725,0.143479064770634,0.0993991130517368,-0.045025887522683,0.346995828421805,"Fruit number"
"20151","Daring Lake","2015",-0.414678122991915,0.241340631740652,-0.896479548286968,0.0577078123691018,-0.136599673931391,0.11989860249836,-0.370702998567894,0.0973986057150199,"Fruit number"
"20161","Daring Lake","2016",0.0257168874842905,0.252408150644017,-0.471932481744103,0.521486907736621,0.0853713992569568,0.116160856916908,-0.126737299413203,0.328339773673416,"Fruit number"
"20171","Daring Lake","2017",0.320622606997025,0.313431201573937,-0.305494082869754,0.941939532686402,0.16807829588066,0.117035339991315,-0.0530525230947072,0.408048427336594,"Fruit number"
"20181","Daring Lake","2018",-0.533565887804958,0.338463025941358,-1.20534380712703,0.134958390738931,-0.0805899352705088,0.113601329106131,-0.298554819232717,0.151113028259115,"Fruit number"
"20191","Daring Lake","2019",0.189308870843761,0.300869830799168,-0.405150689560961,0.799309480253096,-0.0581194908298965,0.126765733594475,-0.302906786937304,0.197148513786291,"Fruit number"
"20211","Daring Lake","2021",2.35336747668254,0.254777134104721,1.8585877927044,2.86028109407441,-0.180743257009204,0.196148780990422,-0.588654325905374,0.185041195366467,"Fruit number"
"20221","Daring Lake","2022",0.123563297651865,0.399144891222755,-0.671721866464653,0.92056992391475,0.0381770910231412,0.114167164756731,-0.18597580226349,0.261307929694081,"Fruit number"
"19921","Alexandra Fiord","1992",0.541777692996813,0.305580741666472,-0.0487717112284709,1.15467012682666,-0.165921841833275,0.165081286805945,-0.487126916322491,0.160731065968664,"Fruit number"
"19931","Alexandra Fiord","1993",-0.498751689836233,0.301780024872528,-1.08572349902708,0.111637138471773,-0.177803875834626,0.163053940025112,-0.50883455302097,0.143930141594339,"Fruit number"
"19941","Alexandra Fiord","1994",-0.88332983164836,0.301692662060144,-1.47139916383352,-0.275072610346387,-0.159925838765317,0.164364017004659,-0.49174060606563,0.1624485738743,"Fruit number"
"19951","Alexandra Fiord","1995",-0.020251795403211,0.302154726650931,-0.609136361338342,0.585963628028924,-0.123066717583659,0.162643007390554,-0.446547472494432,0.193165899310764,"Fruit number"
"19961","Alexandra Fiord","1996",0.766786160271833,0.302373614598444,0.18481255180347,1.37762133460625,0.167653757005283,0.163017711385594,-0.149509296075268,0.495690003156356,"Fruit number"
"19971","Alexandra Fiord","1997",-0.495318719736384,0.351792607675053,-1.18464992611653,0.203999698167444,-0.340633838123482,0.219959650642144,-0.782369678314395,0.0824143420621826,"Fruit number"
"19981","Alexandra Fiord","1998",-0.574738712131388,0.308101941662904,-1.17593792103047,0.0464867839379667,0.0260185190417524,0.170838340714546,-0.318283380859261,0.358014188098055,"Fruit number"
"1999","Alexandra Fiord","1999",1.95498746865593,0.364251076330973,1.27344250792747,2.70238029044512,1.0746813284927,0.263679535243321,0.584372042693666,1.62225121112357,"Fruit number"
"2000","Alexandra Fiord","2000",-0.685075310916822,0.312246233985929,-1.29068955624566,-0.0593710456986881,0.0766975131380844,0.173902164121864,-0.267732705280395,0.423622803829985,"Fruit number"
"200111","Alexandra Fiord","20011",0.44690151830827,0.323117859069119,-0.17409820717626,1.09187809969625,0.181039602470125,0.190039001650846,-0.186927171135791,0.562128892555646,"Fruit number"
"200211","Alexandra Fiord","20021",-0.471279591071339,0.316530424041846,-1.08135621847261,0.165581100936175,-0.579442403183432,0.18273117473098,-0.94992821175833,-0.230919583577267,"Fruit number"
